COD,SUBCOD,CODE1,CODE2,D_NAME,FULLNAME,ABBR,DATA_COZD,DATA_ZAKR
0,0,0,0,СПбГПУ,СПбГПУ,СПбГПУ,1900-01-01T00:00:00,1900-01-01T00:00:00
1,0,0,0,Подразделения учебного комплекса,Подразделения учебного комплекса,УК,1968-11-20T00:00:00,
10,1858,31,4,"Кафедра ""Строительная механика и строительные конструкции""","Кафедра ""Строительная механика и строительные конструкции""",СМиСК,1968-11-20T00:00:00,
100,1860,33,51,Кабинет курсового и дипломного проектирования,Кабинет курсового и дипломного проектирования,ККДП,1968-11-20T00:00:00,
1000,349,8,4,Отдел стипендий,Отдел стипендий,ОС,1968-11-20T00:00:00,
1001,349,8,4,Отдел кассовых операций,Отдел кассовых операций,ОКО,1968-11-20T00:00:00,
1002,189,0,0,Хозрасчетный региональный центр безопасности,Хозрасчетный региональный центр безопасности,ХРЦБ,1968-11-20T00:00:00,2007-03-01T00:00:00
1003,305,0,0,Центр региональной профориентации,Центр региональной профориентации,ЦРПО,1968-11-20T00:00:00,2009-04-01T00:00:00
1004,349,8,4,Отдел валютных операций,Отдел валютных операций,ОВО,1968-11-20T00:00:00,
1005,349,8,4,Отдел учета и планирования средств международной деятельности,Отдел учета и планирования средств международной деятельности,ОУПСМНД,1968-11-20T00:00:00,
1006,339,1,6,Сектор ИМОП,Сектор ИМОП,СИМОП,2004-09-21T00:00:00,2014-04-15T00:00:00
1007,243,9,1,"Отдел экспл., ремонта  и мат.-тех. снабжения","Отдел эксплуатации, ремонта и материально-технического снабжения",ОЭРиМС,1968-11-20T00:00:00,2016-04-01T00:00:00
1008,1007,9,1,Экспл.-хоз. участок уч. помещений и территорий,Эксплуатационно-хозяйственный участок учебных помещений и территорий,ЭХУУПиТ,1968-11-20T00:00:00,2016-04-01T00:00:00
1009,1007,9,1,Эксплуатационно-технический участок,Эксплуатационно-технический участок,ЭТУ,1968-11-20T00:00:00,2016-04-01T00:00:00
101,1860,33,58,Сектор вычислительных средств,Сектор вычислительных средств,СВС,1990-12-18T00:00:00,
1010,207,41,51,Курсы иностранных языков ИМОП,Курсы иностранных языков ИМОП,КИЯИМОП,1968-11-20T00:00:00,
1011,847,9,4,Комплекс общественного питания,Комплекс общественного питания,КОП,1968-11-20T00:00:00,
1012,1011,9,4,Административная служба,Административная служба,АСлужба,1968-11-20T00:00:00,2013-01-01T00:00:00
1013,1011,9,4,Производственная служба,Производственная служба,ПСлужба,1968-11-20T00:00:00,2013-01-01T00:00:00
1014,1581,9,4,"Представительство ФГАОУ ВО ""СПбПУ"" в п. Новомихайловский  ""УОБ Политехник""","Представительство ФГАОУ ВО ""СПбПУ"" в п.Новомихайловский Туапсинского района Краснодарского края ""Учебно-оздоровительная база ""Политехник""",УОБ НМ,1968-11-20T00:00:00,
102,1860,33,0,Учебно-выч. лаборатория ФТИМ,Учебно-вычислительная лаборатория ФТИМ,УВЛ ФТИМ,1978-04-13T00:00:00,2013-01-31T00:00:00
1020,1859,32,13,"Кафедра ""Техника высоких напряжений, электроизоляционная и кабельная техника""","Кафедра ""Техника высоких напряжений, электроизоляционная и кабельная техника""",ТВНЭиКТ,2004-11-02T00:00:00,
